,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
33,"(0, 0, 1, 29, 5, 5, 20, 1)",0.37734948560724996,0.116999,0.5991798682203333,0.114247,0.36959147795825004,0.140631,0.590609642175,0.10291900000000001,0.37734948560724996,0.28332,0.43511859365725,0.399488,0.5991798682203333,1.032161,0.5991798682203333,0.39604100000000003
34,"(0, 3, 3, 24, 11, 6, 13, 1)",0.35014285620357144,0.141736,0.4826676168821666,0.10573,0.273232569436125,0.14835600000000002,0.45087295797983334,0.110099,0.34306257532042855,0.392513,0.49176853600316667,0.577584,0.4826676168821666,0.826401,0.4826676168821666,1.40775
35,"(0, 2, 1, 27, 10, 10, 10, 1)",0.46029446127616663,0.13869,0.5393507302864999,0.110158,0.34824129176957136,0.13346,0.4729986094761666,0.123827,0.45639368608249997,0.29727400000000004,0.5393507302864999,0.346557,0.5393507302864999,0.765197,0.5393507302864999,0.829817
36,"(0, 3, 2, 25, 9, 8, 13, 1)",0.5584031661092,0.131185,0.5458796312372,0.12373200000000001,0.5170221143275999,0.11647900000000001,0.522463465058,0.12978,0.5475860811468001,0.47504300000000005,0.589388168818,0.38052600000000003,0.5458796312372,0.770726,0.5458796312372,0.899316
37,"(0, 0, 3, 27, 6, 7, 17, 1)",0.35068109786374996,0.144273,0.6223541868416667,0.102592,0.23706871896540002,0.14802800000000002,0.34742498056574994,0.118151,0.38529278352574997,0.41672400000000004,0.6223541868416667,0.27855800000000003,0.6223541868416667,0.823744,0.6223541868416667,0.607939
38,"(0, 2, 2, 26, 7, 6, 17, 1)",0.5038585631262,0.132416,0.5992061697742,0.109653,0.36390309450416664,0.126336,0.505500219943,0.11607400000000001,0.5065139969462,0.313248,0.5618750116810001,0.400629,0.5992061697742,0.864554,0.5992061697742,0.732006
39,"(0, 1, 4, 25, 7, 6, 17, 1)",0.37497849193259997,0.123604,0.56088866267475,0.099373,0.34058128145339994,0.15333000000000002,0.54122738548825,0.11199200000000001,0.3637589226854,0.432161,0.56821420105425,0.422103,0.56088866267475,0.814115,0.56088866267475,1.2241540000000002
40,"(0, 0, 1, 29, 7, 6, 17, 1)",0.36406128341239996,0.13681200000000002,0.5702634739895001,0.12651600000000002,0.3668794737284,0.146513,0.5549712968435,0.11550400000000001,0.2706688042983333,0.456799,0.5586433415915001,0.33048700000000003,0.5702634739895001,0.817427,0.5702634739895001,0.589877
41,"(0, 0, 3, 27, 5, 12, 13, 1)",0.3815229940038001,0.126749,0.5858252814972501,0.10527700000000001,0.26929300910049997,0.129409,0.3851110724246,0.10567900000000001,0.38377569818339996,0.300055,0.5863276193722501,0.351849,0.5858252814972501,0.8375720000000001,0.5858252814972501,0.6954910000000001
42,"(0, 2, 3, 25, 8, 6, 16, 1)",0.37141986099585717,0.12177800000000001,0.6643596599678,0.10343200000000001,0.35338240863842857,0.13914800000000002,0.6639728796181998,0.11480900000000001,0.35193043549185715,0.407115,0.6644892806126,0.409034,0.6643596599678,0.9272130000000001,0.6643596599678,1.253706
43,"(0, 3, 1, 26, 10, 7, 13, 1)",0.4218796438392,0.11143900000000001,0.5018018535291999,0.09156600000000001,0.41293279649279996,0.13886,0.6222674534695,0.106107,0.4269363164904,0.39532300000000004,0.4975290366752,0.39566,0.5018018535291999,0.948918,0.5018018535291999,1.2874780000000001
44,"(0, 2, 2, 26, 7, 8, 15, 1)",0.41657906427420005,0.106672,0.6158762087812499,0.107367,0.4000051868730001,0.11944,0.56491725158875,0.097929,0.5684503117987499,0.437139,0.60870459499475,0.299526,0.6158762087812499,0.731873,0.6158762087812499,0.9451080000000001
45,"(0, 2, 3, 25, 9, 6, 15, 1)",0.3612423652305714,0.142179,0.630954490024,0.11558500000000001,0.4305197403613334,0.13650700000000002,0.6210593154768,0.09640900000000001,0.444267392057,0.374016,0.633374157122,0.390959,0.630954490024,0.9099860000000001,0.630954490024,1.628185
46,"(0, 3, 2, 25, 9, 10, 11, 1)",0.4785256199130001,0.123188,0.5197873499973333,0.11070300000000001,0.33904968347428577,0.12795,0.45336736291366675,0.12996100000000002,0.4493392281183333,0.325232,0.6424990534419999,0.41736100000000004,0.5197873499973333,0.9657990000000001,0.5197873499973333,1.347825
47,"(0, 0, 3, 27, 2, 13, 15, 1)",0.52485715214,0.12449500000000001,0.5405478477775999,0.12087800000000001,0.36471328028933336,0.134358,0.5293136270076,0.111531,0.5252707108372,0.368414,0.5426744422984,0.37276000000000004,0.5405478477775999,0.7450140000000001,0.5405478477775999,0.5650000000000001
48,"(0, 1, 2, 27, 8, 6, 16, 1)",0.3194613529161667,0.13473100000000002,0.49438601878700006,0.11453600000000001,0.3205447270158333,0.140832,0.45358814601300007,0.164407,0.3194613529161667,0.376166,0.5112284765218,0.47504900000000005,0.49438601878700006,0.7840630000000001,0.49438601878700006,0.7153430000000001
49,"(0, 3, 4, 23, 14, 6, 10, 1)",0.3172858290945555,0.122938,0.48506627367585714,0.10870600000000001,0.23553548993490003,0.141164,0.4988636591461429,0.105133,0.37779061320387497,0.35869100000000004,0.4876445882461428,0.710106,0.48506627367585714,0.906402,0.48506627367585714,1.860521
