,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
786,"(0, 2, 1, 27, 6, 6, 18)",0.5097880504915999,0.125362,0.5408348387956001,112378000,0.4601352797484,0.132113,0.4662003401832001,0.113597,0.47386130681320004,0.391261,0.5113649194672,0.304256,0.5408348387956001,0.8105500000000001,0.5408348387956001,1.011212
787,"(0, 0, 2, 28, 4, 8, 18)",0.3126483299756,0.144107,0.5294830382775001,102441000,0.2796568997912,0.137552,0.48087113827350003,0.13931500000000002,0.3140140744052,0.287509,0.5294830382775001,0.303742,0.5294830382775001,0.775533,0.5294830382775001,0.5154650000000001
788,"(0, 0, 2, 28, 8, 8, 14)",0.3568873286765,0.132672,0.45136076899800004,94402000,0.336525580838,0.148433,0.35615156100799994,0.141661,0.3660271300595,0.339455,0.45136076899800004,0.302771,0.45136076899800004,0.902702,0.45136076899800004,0.518078
789,"(0, 1, 1, 28, 6, 11, 13)",0.4915407881998,0.127537,0.5508690089646,113273000,0.35518267023983335,0.124422,0.49621773903860006,0.102853,0.4915407881998,0.34538800000000003,0.556653377553,0.41266400000000003,0.5508690089646,0.739804,0.5508690089646,0.604008
790,"(0, 0, 4, 26, 5, 9, 16)",0.401547675689,0.131248,0.6125868527492501,104428000,0.39017930234419995,0.128639,0.450312633117,0.125913,0.40196801814820005,0.40888100000000005,0.6125868527492501,0.37929500000000005,0.6125868527492501,0.751634,0.6125868527492501,0.7861100000000001
791,"(0, 0, 1, 29, 4, 12, 14)",0.3812179606508,0.154361,0.5164925356345,127532000,0.3278170798512,0.13523100000000002,0.33810734473279996,0.142912,0.3812179606508,0.25653000000000004,0.5091343937005001,0.315666,0.5164925356345,0.935752,0.5164925356345,0.543501
792,"(0, 1, 3, 26, 8, 4, 18)",0.4899098646222,0.11944600000000001,0.5342447173374,103969000,0.33415575011983334,0.137489,0.5257905840098,0.133573,0.48571651577020003,0.427136,0.5236052754981999,0.36072800000000005,0.5342447173374,0.8923660000000001,0.5342447173374,0.796323
793,"(0, 4, 1, 25, 5, 6, 19)",0.36671540070766656,0.107143,0.525740945198,97449000,0.345674250803,0.12061400000000001,0.5099273937952,0.10784600000000001,0.35864693220033333,0.539725,0.525740945198,0.561936,0.525740945198,1.0765440000000002,0.525740945198,2.150722
794,"(0, 3, 1, 26, 4, 5, 21)",0.3346947884094,0.15771300000000002,0.5365937218057502,99979000,0.3277694544494,0.145821,0.51592720693625,0.110033,0.3346969628478,0.336461,0.52865702044275,0.48341300000000004,0.5365937218057502,1.060122,0.5365937218057502,2.120206
795,"(0, 1, 0, 29, 5, 11, 14)",0.44668637060175,0.13523400000000002,0.54766584561675,97592000,0.34753830495939997,0.13162500000000002,0.47213963518025,0.13051200000000002,0.4552912687207501,0.391384,0.54766584561675,0.382826,0.54766584561675,0.81305,0.54766584561675,0.520841
796,"(0, 2, 3, 25, 8, 10, 12)",0.3549781758427143,0.12197000000000001,0.5011448636374999,113160000,0.32457291010214284,0.130996,0.4458847858371666,0.123033,0.35246189135100003,0.5576150000000001,0.4974505197518333,0.39554500000000004,0.5011448636374999,0.8873430000000001,0.5011448636374999,1.3586150000000001
797,"(0, 0, 2, 28, 8, 6, 16)",0.40036219738550005,0.133694,0.45151020575499995,124820000,0.3988586725025,0.13331300000000001,0.4089294589245,0.125137,0.40036219738550005,0.221315,0.45151020575499995,0.34958900000000004,0.45151020575499995,0.845426,0.45151020575499995,0.612247
798,"(0, 2, 2, 26, 8, 5, 17)",0.4342105613046,0.127832,0.5287775530501999,102261000,0.3225216913495,0.14169400000000001,0.5181059767922,0.128242,0.4389383619578,0.30118100000000003,0.6766104397242501,0.376135,0.5287775530501999,0.9758040000000001,0.5287775530501999,1.6576440000000001
799,"(0, 0, 2, 28, 5, 7, 18)",0.3543353940626,0.159745,0.55479791025225,121656000,0.3412269703377999,0.137432,0.5344736584562501,0.11605900000000001,0.35440212466739995,0.326809,0.55264455423875,0.33641200000000004,0.55479791025225,0.875027,0.55479791025225,0.511931
800,"(0, 1, 1, 28, 2, 8, 20)",0.32468883486660005,0.135154,0.5219644800522499,117307000,0.339413914505,0.123337,0.48444588980025,0.118468,0.3355617815234,0.464768,0.5282821063152501,0.38180200000000003,0.5219644800522499,0.773522,0.5219644800522499,0.696654
801,"(0, 0, 5, 25, 6, 6, 18)",0.3652771273590001,0.139182,0.5654556898552501,114948000,0.3480877811382,0.147909,0.53010300644125,0.097778,0.3685117431242,0.332218,0.56636393959275,0.35325500000000004,0.5654556898552501,0.7699630000000001,0.5654556898552501,0.959693
802,"(0, 2, 2, 26, 9, 5, 16)",0.3879283573266667,0.12468900000000001,0.5968549949432,101542000,0.2684231772602857,0.141248,0.5631121599732001,0.12571400000000002,0.3879283573266667,0.344193,0.5203148972708,0.298147,0.5968549949432,0.9117730000000001,0.5968549949432,1.093647
803,"(0, 1, 1, 28, 9, 8, 13)",0.44635043622419995,0.129977,0.6468773995872501,99611000,0.409170526483,0.126926,0.4462411776298,0.126915,0.4466947629874,0.33338100000000004,0.49771065214619997,0.43314100000000005,0.6468773995872501,0.849334,0.6468773995872501,0.7214250000000001
