,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times
425,"(0, 1, 3, 26, 7, 9, 14)",0.45565666719660003,137623000,0.5193652476982,115555000,0.475188946097,152682000,0.45793899549700007,103469000,0.4555908811638,313509000,0.513727763539,409999000,0.5193652476982,901827000
426,"(0, 0, 1, 29, 7, 7, 16)",0.4512425299985,131912000,0.48584999824749997,106050000,0.20451558249133336,146217000,0.4440562997085,117003000,0.4501103637585,355433000,0.48584999824749997,261796000,0.48584999824749997,673417000
427,"(0, 2, 5, 23, 11, 5, 14)",0.34480944973414285,129524000,0.6486468303230001,104543000,0.3358915333875715,136213000,0.6314533617101998,95369000,0.46770691795916663,431346000,0.664475421001,416523000,0.6486468303230001,745498000
428,"(0, 2, 6, 22, 8, 8, 14)",0.3964007446635715,135957000,0.5254710486831667,113840000,0.3918805581124286,135320000,0.3902446697687143,122839000,0.4001297583184286,609766000,0.5362169343318333,539065000,0.5254710486831667,973748000
429,"(0, 0, 2, 28, 4, 10, 16)",0.42112321063759994,142132000,0.4740783121904001,108159000,0.40098720376439995,137410000,0.6154817803954999,106917000,0.43483855550840006,364037000,0.47223939012800004,390634000,0.4740783121904001,859022000
430,"(0, 1, 2, 27, 9, 9, 12)",0.4084819420323333,133172000,0.5797401191096,129898000,0.38593058132066665,133473000,0.3859591904206667,125331000,0.4127804814243334,313119000,0.5855712042900001,394677000,0.5797401191096,799343000
431,"(0, 0, 1, 29, 7, 11, 12)",0.53588782010225,137315000,0.39639553624819995,118541000,0.35042221338220003,139600000,0.347702249275,120224000,0.53588782010225,271652000,0.385821638939,419004000,0.39639553624819995,1006312000
432,"(0, 4, 3, 23, 6, 8, 16)",0.37433298959285716,163306000,0.5063793422973334,115486000,0.35964434675085716,141917000,0.5044903551743334,111179000,0.38756636731114286,513304000,0.5239096423390001,589309000,0.5063793422973334,916161000
433,"(0, 0, 2, 28, 7, 9, 14)",0.33323705177659996,127163000,0.4835415010702501,108398000,0.2110583932255,142259000,0.46121734903875006,108406000,0.33079739962219995,388460000,0.5063087172142501,380364000,0.4835415010702501,802268000
434,"(0, 2, 3, 25, 7, 9, 14)",0.48662729176740005,151687000,0.4555786199622,172757000,0.3398565399631666,122218000,0.43891626089019997,119297000,0.4910805387986,411739000,0.5115846914902,398517000,0.4555786199622,966328000
435,"(0, 1, 1, 28, 6, 12, 12)",0.38620237825699993,121372000,0.5413016563752,141376000,0.3615923378363333,139623000,0.5108750173116,116557000,0.390233387221,397557000,0.5389463602292001,361052000,0.5413016563752,735854000
436,"(0, 0, 1, 29, 5, 11, 14)",0.34443788934680003,126706000,0.5529539685209999,153015000,0.34395921914040006,130351000,0.5416278508665,135415000,0.3440252235268,286215000,0.553648392405,259993000,0.5529539685209999,727111000
437,"(0, 0, 0, 30, 7, 13, 10)",0.4296078355032,126808000,0.4530946107276,116329000,0.3677620752168,136068000,0.39411875632520005,130529000,0.5724173083605001,379011000,0.45318303047479996,335948000,0.4530946107276,827899000
438,"(0, 1, 3, 26, 13, 8, 9)",0.42025086230316666,143666000,0.616205434359,122405000,0.3092006910707143,154446000,0.5951234955486,100926000,0.42025086230316666,354176000,0.6160641393349999,377691000,0.616205434359,732423000
439,"(0, 0, 0, 30, 7, 3, 20)",0.35754399874875,123035000,0.42296243749025,125583000,0.24093234746939998,149247000,0.42450237087725,137039000,0.35766035949874997,280956000,0.42296243749025,302488000,0.42296243749025,929081000
440,"(0, 0, 2, 28, 6, 8, 16)",0.5748512200805,129887000,0.6010542204470001,112698000,0.404223632674,121728000,0.5765076001845,109163000,0.5753383301805,284240000,0.6012724529555001,309398000,0.6010542204470001,866103000
441,"(0, 0, 3, 27, 9, 6, 15)",0.47033980766233335,182189000,0.519445574663,129246000,0.28278624807749997,133933000,0.46658176786166666,115704000,0.3688546476371428,304773000,0.5267043777150001,318429000,0.519445574663,801545000
442,"(0, 1, 2, 27, 5, 13, 12)",0.35602824140466666,139451000,0.5250179675808,108243000,0.37999831537633333,129082000,0.5080726816036,126022000,0.38188769593933336,242186000,0.550321325818,399237000,0.5250179675808,808615000
443,"(0, 0, 1, 29, 4, 6, 20)",0.32508052479875,161447000,0.5435212342729999,126475000,0.28168850952675,155984000,0.4887841807003334,123689000,0.32508052479875,265048000,0.5435212342729999,314961000,0.5435212342729999,669516000
444,"(0, 3, 2, 25, 11, 7, 12)",0.4834095395818334,136211000,0.6774792374986001,114996000,0.4689920795695,121177000,0.5386354069795,122158000,0.48233096757383326,450786000,0.5496200691371667,457421000,0.6774792374986001,922978000
445,"(0, 1, 2, 27, 6, 10, 14)",0.3550422014044,145133000,0.3922370338448,113984000,0.33654897558839997,150025000,0.5170821416425,115722000,0.3550422014044,282134000,0.5831715892855001,400111000,0.3922370338448,976917000
446,"(0, 2, 1, 27, 7, 8, 15)",0.418455137987,174713000,0.6210787516892001,127059000,0.4097007324740001,134195000,0.564093158106,113573000,0.4228321591926667,275768000,0.6108358683604,417745000,0.6210787516892001,860088000
